0.000000e+00 	 0.000000e+00 	 0.000000e+00 	 0.000000e+00     
1.000000e+01 	 8.018390e+11 	 -nan 	 -nan     
2.000000e+01 	 8.018390e+11 	 -nan 	 -nan     
3.000000e+01 	 8.018390e+11 	 -nan 	 -nan     
4.000000e+01 	 8.018390e+11 	 -nan 	 -nan     
5.000000e+01 	 8.018390e+11 	 -nan 	 -nan     
6.000000e+01 	 8.018390e+11 	 -nan 	 -nan     
7.000000e+01 	 8.018390e+11 	 -nan 	 -nan     
8.000000e+01 	 8.018390e+11 	 -nan 	 -nan     
9.000000e+01 	 8.018390e+11 	 -nan 	 -nan     
1.000000e+02 	 8.018390e+11 	 -nan 	 -nan     
1.100000e+02 	 8.018390e+11 	 -nan 	 -nan     
1.200000e+02 	 8.018390e+11 	 -nan 	 -nan     
1.300000e+02 	 8.018390e+11 	 -nan 	 -nan     
1.400000e+02 	 8.018390e+11 	 -nan 	 -nan     
1.500000e+02 	 8.018390e+11 	 -nan 	 -nan     
1.600000e+02 	 8.018390e+11 	 -nan 	 -nan     
1.700000e+02 	 8.018390e+11 	 -nan 	 -nan     
1.800000e+02 	 8.018390e+11 	 -nan 	 -nan     
1.900000e+02 	 8.018390e+11 	 -nan 	 -nan     
2.000000e+02 	 8.018390e+11 	 -nan 	 -nan     
2.100000e+02 	 8.018390e+11 	 -nan 	 -nan     
2.200000e+02 	 8.018390e+11 	 -nan 	 -nan     
2.300000e+02 	 8.018390e+11 	 -nan 	 -nan     
2.400000e+02 	 8.018390e+11 	 -nan 	 -nan     
